ID;FXID;PLID;team_id;ps_timestamp;ps_endstamp;MatchTime;period;x_coord;y_coord;x_coord_end;y_coord_end;action;actionName;ActionType;ActionTypeName;Actionresult;ActionResultName;qualifier3;qualifier3Name;qualifier4;qualifier4Name;qualifier5;qualifier5Name;Metres;PlayNum;SetNum;sequence_id;player_advantage;score_advantage;homeTeamID;awayTeamID;kickofftime;hometeamHTscore;awayteamHTscore;hometeamFTscore;awayteamFTscore;hometeamCurrentScore;awayteamCurrentScore;venueID;cityID;cityName;roundNumber;playerShirtNumber;playerpositionID;playerpositionName;homecoachID;homecoachName;awaycoachID;awaycoachName;refereeID;assistantreferee1ID;assistantreferee2ID;videoReferee1ID;competitionID;isHome;result
0;932657;2300;2300;0.00;0.00;8;1;50;34;0;0;17;;407;;0;;0;;0;;0;;0;0;0;0;0;0;2300;2350;15:00;27;14;41;22;0;0;117;-1;NA;7;;;;0;;0;;3;1000335;1000666;51;242;Y;W
1;932657;27528;2350;0.00;0.00;8;1;50;34;93;59;14;Restart;281;50m Restart;286;Restart Opp Collection;288;Long;0;;0;;0;1;0;0;0;0;2300;2350;15:00;27;14;41;22;0;0;117;-1;NA;7;10;10;Fly Half;0;;0;;3;1000335;1000666;51;242;N;L
2;932657;19654;2300;4.52;4.52;13;1;7;9;0;0;18;Collection;275;Restart Catch;277;Success;0;;0;;0;;0;1;1;0;0;0;2300;2350;15:00;27;14;41;22;0;0;117;-1;NA;7;8;8;Number 8;0;;0;;3;1000335;1000666;51;242;Y;W
3;932657;27023;2350;5.92;5.92;14;1;88;53;0;0;2;Tackle;142;Chase Tackle;160;Passive;0;;475;Ineffective Tackle;0;;0;1;1;0;0;0;2300;2350;15:00;27;14;41;22;0;0;117;-1;NA;7;13;13;Outside Centre;0;;0;;3;1000335;1000666;51;242;N;L
4;932657;35510;2350;6.88;6.88;15;1;88;53;0;0;2;Tackle;142;Chase Tackle;153;Complete;0;;474;Neutral Tackle;0;;0;1;1;0;0;0;2300;2350;15:00;27;14;41;22;0;0;117;-1;NA;7;7;7;Openside Flanker;0;;0;;3;1000335;1000666;51;242;N;L
5;932657;19654;2300;7.20;7.20;16;1;7;9;14;15;1;Carry;105;Restart Return;107;Tackled Dominant CarryEnd;111;Failed Gain line;460;Dominant Contact CarryEnd;502;2 Tacklers Committed;7;1;1;0;0;0;2300;2350;15:00;27;14;41;22;0;0;117;-1;NA;7;8;8;Number 8;0;;0;;3;1000335;1000666;51;242;Y;W
6;932657;2300;2300;7.20;15.84;16;1;14;15;0;0;23;Ruck;0;Won Outright;401;Won Outright;551;N/A Gainline;558;6+ Seconds;676;N/A Movement Ruck;0;1;1;0;0;0;2300;2350;15:00;27;14;41;22;0;0;117;-1;NA;7;;;;0;;0;;3;1000335;1000666;51;242;Y;W
7;932657;23932;2300;7.68;7.68;16;1;14;15;0;0;43;Ruck OOA;574;Secured;583;Own Team 1st Entry;588;OOA Entry 1st Entry- Att;632;Attacking OOA;0;1;1;1;1;0;0;0;2300;2350;15:00;27;14;41;22;0;0;117;-1;NA;7;5;5;Lock (5);0;;0;;3;1000335;1000666;51;242;Y;W
8;932657;21558;2300;10.68;10.68;19;1;14;15;0;0;43;Ruck OOA;574;Secured;584;Own Team 2nd Entry;589;OOA Entry 2nd Entry- Att;632;Attacking OOA;0;2;2;1;1;0;0;0;2300;2350;15:00;27;14;41;22;0;0;117;-1;NA;7;4;4;Lock (4);0;;0;;3;1000335;1000666;51;242;Y;W
9;932657;19751;2300;12.80;12.80;21;1;14;15;0;0;43;Ruck OOA;574;Secured;585;Own Team 3rd Entry;590;OOA Entry 3rd Entry- Att;632;Attacking OOA;0;3;3;1;1;0;0;0;2300;2350;15:00;27;14;41;22;0;0;117;-1;NA;7;7;7;Openside Flanker;0;;0;;3;1000335;1000666;51;242;Y;W
10;932657;21185;2350;13.28;13.28;22;1;86;53;0;0;43;Ruck OOA;577;Not Clearing;583;Own Team 1st Entry;603;OOA Entry 1st Entry- Def;633;Defensive OOA;0;1;1;1;1;0;0;0;2300;2350;15:00;27;14;41;22;0;0;117;-1;NA;7;3;3;Tighthead Prop;0;;0;;3;1000335;1000666;51;242;N;L
11;932657;20082;2300;15.84;15.84;24;1;13;15;0;0;18;Collection;631;General Catch;0;;0;;0;;0;;0;2;1;0;0;0;2300;2350;15:00;27;14;41;22;0;0;117;-1;NA;7;9;9;Scrum Half;0;;0;;3;1000335;1000666;51;242;Y;W
